year,province,district,lat,lon,children,teen,young_adult,adult,senior,Total
2007,NWFP,Abbottabad,34.1495,73.1995,234981.433,147384.334,143817.732,235164.357,26294.94,787642.796
2009,NWFP,Abbottabad,34.1495,73.1995,274921.969,152619.275,155123.761,240864.161,26168.162,849697.328
2011,NWFP,Abbottabad,34.1495,73.1995,304540.854,165922.82,161205.1,269074.34,35978.596,936721.71
2013,NWFP,Abbottabad,34.1495,73.1995,264033.3502,145356.1336,169688.6393,239808.0618,20537.3904,839423.5753
2015,NWFP,Abbottabad,34.1495,73.1995,314594.69,158371.91,176882.6,295665.76,53026.79,998541.75
2011,Punjab,Attock,33.7681,72.3607,358247.072,206685.146,249561.612,390409.857,45917.08,1250820.767
2007,Punjab,Attock,33.7681,72.3607,335013.39,186612.381,227671.579,364828.775,35536.296,1149662.421
2009,Punjab,Attock,33.7681,72.3607,367642.162,215534.054,223930.089,369497.438,54404.6,1231008.343
2015,Punjab,Attock,33.7681,72.3607,352763.44,195440.33,228527.83,422131.01,64213.57,1263076.18
2013,Punjab,Attock,33.7681,72.3607,378877.4693,228240.8818,267836.5046,429479.4455,68350.4732,1372784.774
2007,Balochistan,Awaran,26.4749,65.2679,26442.288,12203.254,15291.856,23478.853,1436.99,78853.241
2009,Balochistan,Awaran,26.4749,65.2679,44551.773,19312.089,15788.013,36058.234,1289.009,116999.118
2011,Balochistan,Awaran,26.4749,65.2679,43265.67,13175.518,18716.577,38144.641,2808.443,116110.849
2013,Balochistan,Awaran,26.4749,65.2679,52856.552,27578.6823,21896.6832,41992.4667,3090.8873,147415.2715
2015,Balochistan,Awaran,26.4749,65.2679,108659.64,47927.09,59769.89,81365.67,7160.93,304883.22
2013,Sindh,Badin,24.6557,68.8372,450560.6262,171669.49,219404.836,316153.0058,42890.577,1200678.535
2007,Sindh,Badin,24.6557,68.8372,566257.932,196696.252,265825.003,333716.409,24237.059,1386732.655
2009,Sindh,Badin,24.6557,68.8372,513774.867,202229.97,215465.212,342453.739,14336.873,1288260.661
2011,Sindh,Badin,24.6557,68.8372,452576.913,158632.951,183559.17,307184.179,28098.293,1130051.506
2015,Sindh,Badin,24.6557,68.8372,519341.79,202269.78,223562.04,385143.61,34441.44,1364758.66
2007,Punjab,Bahawalnagar,30.0025,73.2412,809617.878,351512.566,364683.257,583029.144,92595.651,2201438.496
2011,Punjab,Bahawalnagar,30.0025,73.2412,799538.786,359487.567,383751.763,629241.368,83175.131,2255194.615
2015,Punjab,Bahawalnagar,30.0025,73.2412,871183.7,400594.26,475695.18,694643.71,76682.21,2518799.06
2009,Punjab,Bahawalnagar,30.0025,73.2412,840188.942,364047.206,417082.11,595501.656,95094.22,2311914.134
2013,Punjab,Bahawalnagar,30.0025,73.2412,794645.1185,333218.7633,402982.8209,620339.8189,88722.9667,2239909.488
2007,Punjab,Bahawalpur,29.39,71.675,965074.774,383707.614,472586.515,631465.444,70306.196,2523140.543
2009,Punjab,Bahawalpur,29.39,71.675,1110055.6,437830.779,510362.293,736857.409,68131.84,2863237.921
2011,Punjab,Bahawalpur,29.39,71.675,994458.901,425249.893,521369.434,746131.896,88536.223,2775746.347
2013,Punjab,Bahawalpur,29.39,71.675,1012676.173,405038.51,510274.6466,699759.8619,86604.6872,2714353.879
2015,Punjab,Bahawalpur,29.39,71.675,1228636.06,493053.88,619284.28,891241.74,95770.63,3327986.59
2007,NWFP,Bannu,32.989,70.5986,222638.812,74028.554,96410.649,125813.252,7726.501,526617.768
2009,NWFP,Bannu,32.989,70.5986,305448.88,96756.241,151438.07,182909.199,10452.054,747004.444
2011,NWFP,Bannu,32.989,70.5986,297869.248,140310.655,152197.923,196374.645,24374.86,811127.331
2013,NWFP,Bannu,32.989,70.5986,315528.8959,115137.9839,146919.5662,168461.6615,14717.2161,760765.3236
2015,NWFP,Bannu,32.989,70.5986,356641.26,158221.84,176358.26,217338.42,22739.09,931298.87
2007,Balochistan,Barkhan,29.8995,69.5246,45449.169,15412.98,13023.279,26390.186,448.536,100724.15
